codigo_de_osinergmin,grifo_distancia,distancia,distancia_min,comentario
42769,82460,0.001216849,0.001216849,corregido
82460,42769,0.001216849,0.001216849,
14691,16617,0.009569376,0.009569376,"ok, grifos distintos"
16617,14691,0.009569376,0.009569376,
6876,21558,0.009812736,0.009812736,"ok, grifos distintos"
21558,6876,0.009812736,0.009812736,
8101,8336,0.015173639,0.015173639,"ok, grifos distintos"
8336,8101,0.015173639,0.015173639,
9527,19966,0.0204763,0.0204763,grifo mal codificado en dirección
19966,9527,0.0204763,0.0204763,
14633,21036,0.022290482,0.022290482,"corregido, mismo grifo"
21036,14633,0.022290482,0.022290482,
16622,87014,0.05702429,0.05702429,"ok, grifos distintos"
87014,16622,0.05702429,0.05702429,
9520,21052,0.069859774,0.069859774,
21052,9520,0.069859774,0.069859774,
9622,42755,0.081131744,0.081131744,
42755,9622,0.081131744,0.081131744,
15206,17879,0.092533077,0.092533077,
17879,15206,0.092533077,0.092533077,
16703,19962,0.096383955,0.096383955,
19962,16703,0.096383955,0.096383955,
16640,21001,0.098622152,0.098622152,
21001,16640,0.098622152,0.098622152,
9518,19953,0.107137129,0.107137129,
19953,9518,0.107137129,0.107137129,
18687,19962,0.108326312,0.108326312,
17944,94684,0.111267286,0.111267286,
94684,17944,0.111267286,0.111267286,
14665,16143,0.124128726,0.124128726,
16143,14665,0.124128726,0.124128726,
43627,92272,0.126217432,0.126217432,
92272,43627,0.126217432,0.126217432,
16612,16671,0.132923082,0.132923082,
16671,16612,0.132923082,0.132923082,
16750,42755,0.137169849,0.137169849,
9464,100155,0.137895121,0.137895121,
100155,9464,0.137895121,0.137895121,
8247,19963,0.150425996,0.150425996,
19963,8247,0.150425996,0.150425996,
15219,15223,0.152701859,0.152701859,
15223,15219,0.152701859,0.152701859,
8224,21052,0.158654436,0.158654436,
14645,16644,0.167859061,0.167859061,
16644,14645,0.167859061,0.167859061,
9515,19945,0.168817406,0.168817406,
19945,9515,0.168817406,0.168817406,
6961,19953,0.174996837,0.174996837,
8035,87554,0.176140865,0.176140865,
87554,8035,0.176140865,0.176140865,
19944,62240,0.186577613,0.186577613,
