codificador,codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n,bandera,glp,gnv,llanteria,islas_comb_liq,mecanico,aceite,lavado,tienda,cajero,en_avenida_principal,coordenadas,revisar
,16700,EMPRESA DE TRANSPORTES Y SERVICIOS VIRGEN DE LA PUERTA S.A.,20156930963,"AV. REPUBLICA DE CROACIA N° 377, ZAPALLAL",PUENTE PIEDRA,7820,,,,,,,,,,,,,
DU,34770,REPSOL COMERCIAL S.A.C.,20503840121,"ESQ. AV. LOS INGENIEROS Y AV. SEPARADORA INDUSTRIAL N° 2503, MZ. E LOTE 14-2, URB. STA. RAQUEL 2DA. ETAPA",ATE,4212,Independiente,3,4,1,3,0,0,0,1,1,si (interseccion de 2 avenidas),"-12.059816, -76.951354",tiene banco de la nacion
VM,9464,COESTI S.A.,20127765279,"AV. CANADA N 1189 - 1191, ESQ. CON CALLE VICTOR ALZAMORA",LA VICTORIA,3911,Primax,2,6,1,8,0,0,1,1,1,1,"-12.083730, -77.012545",se señala 2 grifos primax casa uno en una esquina
,6874,REPSOL COMERCIAL S.A.C.,20503840121,"AV. GERARDO UNGER N° 3689, MZ D LOTE 26, URB. HABILITACIÓN PANAMERICANA NORTE",INDEPENDENCIA,3567,,,,,,,,,,,,,
VM,18440,GRIFOS DIANA S.A.C.,20430857861,"AV. MEXICO 700, ESQUINA CALLE JUAN CASTRO",LA VICTORIA,3541,Mahanaim,2,12,1,4,0,0,1,1,0,1,"-12.074673, -77.022215",
MC,9515,SERVICENTRO SHALOM S.A.C.,20510957581,AV. NACIONES UNIDAS 1222. ESQUINA CON JR. ALEMANIA,LIMA,3526,Petroperu,2,8,0,6,1,0,0,0,1,no,"-12.049312, -77.059888",
MC,18824,REPSOL COMERCIAL  S.A.C.,20503840121,"AV. TINGO MARIA N° 994, ESQUINA CON AV. REPUBLICA DE VENEZUELA N° 1820",LIMA,3436,Repsol,0,0,1,8,0,1,1,1,1,si,"-12.056015, -77.057957",
,16728,ASESORIA COMERCIAL S.A.,20100094569,AV. BRASIL N° 4191 - 4193 ESQ. CON AV. DEL EJERCITO Y JR. HIPOLITO UNANUE,MAGDALENA DEL MAR,3404,,,,,,,,,,,,,
MC,18401,GASOLINERAS  S.A.C.,20101313833,AV. 28 DE JULIO 159. ESQUINA CON AV. BRASIL,LIMA,3350,Petroperu,4,6,0,6,0,0,0,1,1,si,"-12.064965, -77.045032",
,40709,COESTI S.A.,20127765279,"AV. LA MOLINA Nº 580, ESQ. CON LA CALLE LAS MANDARINAS",LA MOLINA,3267,,,,,,,,,,,,,
,8063,COESTI S.A.,20127765279,"AV. JAVIER PRADO ESTE S/N CUADRA 44, URB. FUNDO MONTERRICO CHICO",SANTIAGO DE SURCO,3247,,,,,,,,,,,,,
,16723,SERVICENTRO SMILE S.A.,20377674686,"CALLE LOS ORFEBREROS N° 129, URB. INDUSTRIAL EL ARTESANO",ATE,3214,,,,,,,,,,,,,
,6779,ASESORIA COMERCIAL S.A.,20100094569,"AV. DEL EJERCITO N° 965, 967 Y 973, LOTES 1, 3, 16C, 17 Y 18 DE LA MZ. 68, URB. SAN FELIPE",MAGDALENA DEL MAR,3202,,,,,,,,,,,,,
DU,17944,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. ARICA 481, ESQUINA CON JR. GENERAL VARELA Y JR. REBECA OQUENDO",BREÑA,1764,Pecsa,2,6,0,8,0,1,0,1,1,,"-12.059134, -77.045659",
DU,9526,COESTI S.A.,20127765279,AV. LA MARINA N° 3112 ¿ URB. MARANGA CUARTA ETAPA,SAN MIGUEL,3179,Primax,2,4,0,6,0,0,0,1,0,,"-12.075387, -77.097081",
,6837,ORGANIZACION FUTURO S.A.C,20177941591,AV. JAVIER PRADO ESTE N° 6651 URB. SANTA PATRICIA - III ETAPA,LA MOLINA,3157,,,,,,,,,,,,,
DU,6785,ASESORIA COMERCIAL S.A.,20100094569,AV. TINGO MARIA N° 1711,BREÑA,1722,Primax,0,6,0,2,0,1,0,1,0,,"-12.064993, -77.060138",
DU,16622,SERVICENTRO SANTA CECILIA S.A.C.,20343081368,AV. BOLIVAR 499 ESQUINA CON JR. ISLAS HAWAI,PUEBLO LIBRE,1053,Independiente,4,0,1,4,0,1,1,1,1,,"-12.072416, -77.057780",
DU,14645,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. CUBA N° 116 - 120  ESQ. CON AV. ARENALES N° 990,JESUS MARIA,1706,Pecsa,2,0,0,4,0,0,0,1,1,,"-12.074599, -77.037316",
DU,7177,LUIS RAPUZZI DE ALBERTIS S.A.C,20101253164,"AV. EDGARDO REBAGLIATI, ESQUINA CON JR. DOMINGO CUETO CUADRA 3",JESUS MARIA,961,Primax,0,0,0,4,0,0,0,1,0,,"-12.080224, -77.039271",
DUC,6764,COESTI S.A.,20127765279,PASEO DE LA REPUBLICA NO. 5789,MIRAFLORES,1345,Pecsa,2,0,0,4,0,0,0,1,1,1,"-12.123463, -77.024959",
MC,7276,ESTACION SANTA MARGHERITA S.A.C.,20508832134,AV. VENEZUELA NRO. 2600,LIMA,3013,Primax,2,4,1,6,0,1,0,1,1,si,"-12.057600, -77.068741",
DUC,6876,REPSOL COMERCIAL S.A.C.,20503840121,AV. REPUBLICA DE PANAMA N° 290,BARRANCO,2125,Repsol,0,0,1,4,0,1,1,1,1,1,"-12.139069, -77.017547",
DUC,6788,REPSOL COMERCIAL S.A.C,20503840121,AV. REPUBLICA DE PANAMA N° 4101 ESQ. AV. TOMAS MARSANO,SURQUILLO,1121,Repsol,0,0,1,8,0,1,1,1,0,1,"-12.105772, -77.018420",
,37044,RED OPERADORA DE ENERGIA S.A.C.,20491942852,AV. PACHACUTEC N° 1700,VILLA MARIA DEL TRIUNFO,2955,,,,,,,,,,,,,
DU,16640,REPSOL COMERCIAL S.A.C.,20503840121,AV. DEL PARQUE SUR 285 ESQ. AV.  GUARDIA CIVIL,SAN ISIDRO,2915,Repsol,2,0,1,6,0,0,0,1,0,,"-12.102734, -77.014922",
DUC,6788,GLOBAL FUEL S.A,20565643496,AV. REPUBLICA DE PANAMA N° 4101 ESQ. AV. TOMAS MARSANO,SURQUILLO,357,Repsol,0,0,1,8,0,1,1,1,0,1,"-12.105772, -77.018420",
VM,31927,OPERACIONES ARGUS SA.C.,20510372515,AV. IQUITOS N° 1100. ESQUINA CON JIRON ITALIA N° 100,LA VICTORIA,2892,Pecsa,4,8,1,6,0,0,1,1,0,1,"-12.071606, -77.029870",
DUC,6771,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"JR. ARIAS SCHEREIBER N° 124, ESQ. JOSE SABOGAL",MIRAFLORES,992,Pecsa,0,0,1,4,0,0,0,1,0,0,"-12.122530, -77.011071",
DU,14693,REPSOL COMERCIAL S.A.C. - ( TIKY TOO ),20503840121,AV. JOSE GALVEZ BARRENECHEA Nº 211 ESQUINA CON AV. DEL PARQUE NORTE Nº 590,SAN ISIDRO,2870,Repsol,0,2,1,10,1,1,1,1,1,,"-12.092135, -77.013459",
MC,42769,OPERACIONES ARGUS S.A.C.,20510372515,"AV. NICOLAS DUEÑAS N° 606, 610, 616 (ANTES AV. NICOLAS DUEÑAS N° 590. CDRA 17 DE LA AV. ARGENTINA)",LIMA,2856,Independiente,2,6,0,6,0,0,1,1,1,si,"-12.045160, -77.065552",
,6880,COESTI S.A.,20127765279,AV. TOMAS VALLE N° 1981. ESQ. CALLE BAQUIJANO Y CARRILLO,SAN MARTIN DE PORRES,2850,,,,,,,,,,,,,
,35059,REPSOL COMERCIAL S.A.C.,20503840121,AV. PRIMAVERA N° 1204 - 1212 ESQ. CON CALLE JERONIMO DE ALIAGA,SANTIAGO DE SURCO,2828,,,,,,,,,,,,,
,19948,REPSOL COMERCIAL S.A.C.,20503840121,AV. PRIMERO DE MAYO N° 3090,EL AGUSTINO,2819,,,,,,,,,,,,,
,38667,SERVICENTRO EL ASESOR S.A.C.,20390606479,"AV HUAROCHIRI N° 905, ESQUINA CON AV. HUANCARAY, MZ. H1, LOTES 2,3,4,5 Y 6 URB. EL ASESOR",SANTA ANITA,2780,,,,,,,,,,,,,
VM,6783,ASESORIA COMERCIAL S.A.,20100094569,AV. NICOLAS ARRIOLA N° 295. URB. SANTA CATALINA,LA VICTORIA,3181,Primax,2,8,1,4,1,1,1,1,0,0,"-12.087193, -77.016421",Tambien lleva el nombre ACOSA
MC,9635,GRIFOSA S.A.C.,20100032458,AV. OSCAR R. BENAVIDES NO. 2398,LIMA,2761,Petroperu,2,8,0,10,0,1,0,1,1,si,"-12.048951, -77.071758",
MC,9520,CORPORACION DE SERVICENTROS S.A.C.,20131191040,OSCAR BENAVIDES N° 930,LIMA,2715,Repsol,2,10,1,6,0,0,0,1,0,si,"-12.047235, -77.053539",
,6840,COESTI S.A.,20127765279,AV. NICOLAS AYLLON N° 1340,SAN LUIS,2709,,,,,,,,,,,,,
,7302,GRIFOS ESPINOZA S.A.,20100111838,AV. NICOLAS AYLLON Nº 4359,ATE,2701,,,,,,,,,,,,,
DU,7955,COESTI S.A.,20127765279,AV. LA MARINA N° 2185  (AV. LA MARINA INT. AV. RIVA AGUERO Y CALLE 39),SAN MIGUEL,2679,Primax,2,8,0,10,0,1,0,1,1,,"-12.078484, -77.084329",
DU,9113,COESTI S.A.,20127765279,AV. JAVIER PRADO OESTE NOS. 1895 - 1875 -1899 ESQUINA CON LA AV. LOS CASTAÑOS,SAN ISIDRO,2670,Primax,2,6,0,8,0,0,0,1,1,,"-12.094975, -77.050375",
VM,33342,COESTI S.A.,20127765279,AV. AVIACIÓN CDRA 15 S/N OVALO ARRIOLA,LA VICTORIA,2665,Primax,4,10,0,6,0,0,0,1,1,1,"-12.078842, -77.010577",
VM,9518,COESTI S.A.,20127765279,AV. 28 DE JULIO N° 2200,LA VICTORIA,2662,Primax,2,4,0,4,0,0,0,0,0,1,"-12.061821, -77.018832",
VM,8336,COESTI S.A.,20127765279,AV. JAVIER PRADO ESTE N° 1059,LA VICTORIA,2650,Repsol,0,0,0,8,0,0,0,1,0,1,"-12.089836, -77.017596",
MC,18872,REPSOL COMERCIAL S.A.C.,20503840121,"AV. COLONIAL N° 140, 160, 164, 178, ESQUINA CON JR. HUAROCHIRI N° 591",LIMA,2642,Repsol,0,2,0,6,0,0,1,1,1,si,"-12.046282, -77.043790",
,20129,COESTI S.A.,20127765279,ESQ. AV. RAUL FERRERO CON AV. ALAMEDA DEL CORREGIDOR,LA MOLINA,2639,,,,,,,,,,,,,
,9652,GRIFOS ESPINOZA S.A.,20100111838,"AV. PROLONGACION PACHACUTEC N° 5295 (ANTES: AV. PACHACUTEC N° 5295, MZ. T, LT. 9, SOCIEDAD UNION DE COLONIZADORES DE LA TABLADA DE LURIN - VMT)",VILLA MARIA DEL TRIUNFO,2605,,,,,,,,,,,,,
,9573,SERVICENTRO GERMANICO F.H. S.A.C.,20511584583,AV. REPUBLICA DE PANAMA N° 6901-A ESQ. CON AV. MARISCAL CASTILLA,SANTIAGO DE SURCO,2598,,,,,,,,,,,,,
DUC,6996,GASOLINERAS S.A.C.,20101313833,AV. HUAYLAS 2355,CHORRILLOS,2303,Petroperú,2,2,1,4,0,0,0,1,0,1,"-12.181330, -77.012124",
DU,6781,ASESORIA COMERCIAL S.A.,20100094569,AV. ARENALES N° 2100,LINCE,3095,Primax,2,6,0,2,0,0,0,1,0,,"-12.086005, -77.035515",
DU,6765,COESTI S.A.,20127765279,AV. REPUBLICA DE COLOMBIA N 105-109,SAN ISIDRO,2568,Primax,2,4,0,6,0,0,0,1,1,,"-12.098737, -77.032165",
MC,7170,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. COLONIAL N° 300 (ANTES AV. OSCAR R. BENAVIDES) ESQUINA CON JR. ASCOPE,LIMA,2549,Pecsa,4,8,1,10,0,1,0,1,1,si,"-12.046357, -77.045781",
,14722,GRIFO SERVITOR S.A.,20334129595,AV. ALFREDO MENDIOLA N° 1395 - URB. LA MILLA,SAN MARTIN DE PORRES,2523,,,,,,,,,,,,,
,9593,COESTI S.A.,20127765279,AV. PRÓCERES DE LA INDEPENCIA Nº 104. URB ZARATE,SAN JUAN DE LURIGANCHO,2509,,,,,,,,,,,,,
,18830,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. FAUSTINO SANCHEZ CARRION, ESQUINA CON AV. JUAN DE ALIAGA",MAGDALENA DEL MAR,2504,,,,,,,,,,,,,
,19989,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. TOMAS MARSANO Nº 4080 ESQUINA CON AV. SURCO,SANTIAGO DE SURCO,2488,,,,,,,,,,,,,
DU,15206,ESTACION DE SERVICIOS PASO DE LOS ANDES S.A.C.,20511230935,AV. BRASIL N° 699,JESUS MARIA,957,Petro America,4,0,0,6,0,1,1,1,0,,"-12.066321, -77.046151",
,7088,INVERSIONES LUMARCO S.A.,20110623420,"AV. NICOLAS AYLLON N° 8710-8720, CARRETERA LIMA - CHOSICA, ALT. KM. 11.20 (ANTES CARRETERA CENTRAL KM. 11.5)",ATE,2413,,,,,,,,,,,,,
,8538,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,JR.  SALAVERRY N°478-480,MAGDALENA DEL MAR,2391,,,,,,,,,,,,,
DUC,7096,COESTI S.A.,20127765279,"AV. CAMINOS DEL INCA N° 110-134, SUB LOTE 8-A, MZ. Ñ. URB. SAN JUAN BAUTISTA DE VILLA - PRIMERA ETAPA",CHORRILLOS,2051,Primax,2,8,0,6,0,0,0,1,1,1,"-12.190336, -77.006286",
DU,8258,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,AV. AREQUIPA N° 1890 ESQUINA CON AV. JOSE PARDO DE ZELA,LINCE,2766,Pecsa,2,6,,2,0,0,,1,1,,"-12.083405, -77.034879",
DUC,7161,LMC COMBUSTIBLES S.A.,20600318366,AV. CIRCUNVALACION N° 2944,SAN BORJA,262,Independiente,2,4,0,2,0,0,0,0,0,0,"-12.082749, -76.985517",
DU,6743,COESTI S.A.,20127765279,AV. CESAR CANEVARO Nº 1598,LINCE,2313,Primax,2,0,0,6,0,0,0,1,0,,"-12.085233, -77.048362",
