distrito,nn
ANCON,6
ATE,64
BARRANCO,6
BREÑA,13
CARABAYLLO,38
CHACLACAYO,8
CHORRILLOS,23
CIENEGUILLA,5
COMAS,30
EL AGUSTINO,7
INDEPENDENCIA,13
JESUS MARIA,12
LA MOLINA,16
LA VICTORIA,47
LIMA,38
LINCE,7
LOS OLIVOS,31
LURIGANCHO,31
LURIN,18
MAGDALENA DEL MAR,8
MIRAFLORES,30
PACHACAMAC,12
PUCUSANA,5
PUEBLO LIBRE,10
PUENTE PIEDRA,35
PUNTA HERMOSA,1
PUNTA NEGRA,2
RIMAC,9
SAN BARTOLO,1
SAN BORJA,12
SAN ISIDRO,25
SAN JUAN DE LURIGANCHO,54
SAN JUAN DE MIRAFLORES,20
SAN LUIS,10
SAN MARTIN DE PORRES,44
SAN MIGUEL,15
SANTA ANITA,13
SANTA MARIA DEL MAR,1
SANTA ROSA,1
SANTIAGO DE SURCO,33
SURQUILLO,14
VILLA EL SALVADOR,37
VILLA MARIA DEL TRIUNFO,27
