codigo_de_osinergmin,razon_social,ruc,direccion,distrito,n
100012,SERVICENTRO SATO E.I.R.L.,20547758227,"AV. LAS LOMAS DE CARABAYLLO (VÍA PERIURBANA TRAMO I-C), MZ. A, LOTE 01 - ASOCIACIÓN AGROPECUARIA LOS PALOMARES",CARABAYLLO,86
100155,COESTI S.A.,20127765279,"AV. NICOLAS ARRIOLA N° 710, URB. SANTA CATALINA",LA VICTORIA,903
100232,ESTACION DE SERVICIOS PACHACAMAC S.A.C.,20563355876,"AV. PAUL POBLET, MZ C, SUB LOTE 1-A. HUERTO DE PACHACAMAC",PACHACAMAC,285
100806,ESTACION DE SERVICIOS MONTOYA Y HERMANOS S.A.C.,20551508855,"URB RESIDENCIAL LA PODEROSA, LOTES 1 Y 2, FRENTE AV. PRINCIPAL",PUCUSANA,40
101467,GRIFO SAN BARTOLOME E.I.R.L.,20429459436,CALLE TACNA ESQUINA CON CALLE ABANCAY MZ. 77 LT. 1 AA.HH. SANTA ROSA,PUENTE PIEDRA,105
101850,INVERSIONES PERCY CAR S.R.L.,20523469755,"SECTOR 1 GRUPO 25A - MZ. I, LT. 1",VILLA EL SALVADOR,194
104256,INVERSIONES M Y E S.A.C.,20518633482,"AV. LAS TORRES MZ. ""D"" LOTE 14 URB. ALAMEDA DE HUACHIPA",LURIGANCHO,104
104256,INVERSIONES M Y E S.A.C.,20518633482,"AV. LAS TORRES MZ. D, LOTES 07 AL 22, URB. ALAMEDA DE HUACHIPA",LURIGANCHO,118
104367,EMPRESA DE TRANSPORTES SERVICIOS Y COMERCIALIZACION REYDA EIRL,20501096408,"LOTE 2B, LA RINCONADA PAMPLONA ALTA",SAN JUAN DE MIRAFLORES,24
104494,DELTA ATE E.I.R.L.,20555690534,"AV. NICOLAS AYLLON Nº 3620, CARRETERA CENTRAL ESQUINA CON AV. ATE",ATE,485
104953,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,20330033313,"AV. LIMA N° 2000, P.J. VILLA POETA JOSE GALVEZ PARCELA B MZ. 159, LOTE 4",VILLA MARIA DEL TRIUNFO,321
105599,MULTISERVICIOS ECOGAS S.A.C.,20525166415,"AV. CARAPONGO Y CALLE LOS ROBLES, MZ. D, LOTE 1 ¿ URB. POPULAR NUEVO HORIZONTE CARAPONGO",LURIGANCHO,430
106767,ESTACION DE SERVICIOS PETRO WORLD S.A.C.,20514636843,AV. VENEZUELA ESQUINA CON AV. RIVA AGUERO,SAN MIGUEL,258
107381,INVERSIONES PICORP S.A.C.,20428254687,"AV. 5 DE AGOSTO CON CALLE LOS ANGELES, MZ. ""A"" LOTES 1, 2 Y 23 DEL PROGRAMA DE VIVIENDA Y COMERCIO SAN VALENTIN DE HUACHIPA",LURIGANCHO,296
107602,GRUPO E & E S.A.C.,20514739065,"LOTES 7 Y 8 DE PUNCHAUCA, CAUDIVILLA Y ANEXO CONCON Y HUACOY ( AV. TUPAC AMARU KM. 22.50)",CARABAYLLO,253
108311,INVERSIONES Y ASESORAMIENTO ESCORPIO S.A.C.,20516453835,"MALECON SAN MARTIN - MANZANA 50. LOTES 6, 7, 8, 51 Y 52. SECTOR BALNEARIO",PUCUSANA,100
108688,INVERSIONES GABILU S.A.C,20550287961,AV. SAN JUAN DE DIOS CON CALLE 7  MZ- C1- LTE-1 URB. LOTIZACION INDUSTRIAL,PUENTE PIEDRA,284
108709,INVERSIONES SCJ ONOFRE E.I.R.L.,20601694205,AV. LEONCIO PRADO Nº 344 - ZAPALLAL,PUENTE PIEDRA,110
110659,VERPASAR S.A.C,20554259147,"AV. LAS LOMAS DE CARABAYLLO MZ- B LTES 14,15 Y 16 - PROGRAMA DE VIVIENDA SAN JOSE",CARABAYLLO,18
111552,ESTACION DE SERVICIOS PACHATUSAN S.A.C.,20555103698,ASOCIACION DE PROPIETARIOS SEÑOR DE HUANCA MZ. D LOTE 1,CIENEGUILLA,71
111750,EMPRESA DE TRANSPORTE Y TURISMO CINCO ESTRELLAS S.A. - ETRACESA,20172127291,COMUNIDAD CAMPESINA SANTA ROSA DE MANCHAY VALLE DE LURIN QUEBRADA MANCHAY RETAMAL MZ- T LTE- 3 AV. VICTOR MALASQUEZ CHACALTANA,PACHACAMAC,38
112178,GAZEL PERÚ S.A.C.,20511995028,"AV. FRANCISCO PIZARRO 770, 772, 774, 776, 778, 780, 782, 784 Y 786 ESQ. CON AV. FELIPE ARANCIBIA",RIMAC,175
