codigo_de_osinergmin,razon_social,direccion,bandera,lat,lon
96646,SERVICENTRO LA INMACULADA EIRL,AV. CORDILLERA NEGRA-VOLCAN COROPUNA MZ. E-13 LT.5 LAS DELICIAS DE VILLA,PRIMAX,-12.199256,-76.987733
96646,SERVICENTRO LA INMACULADA EIRL,"ESQUINA AV. CORDILLERA NEGRA Y JR. VOLCAN COROPUNA MZ E-13, LT. 5, URB. LAS DELICIAS DE VILLA",PRIMAX,-12.199256,-76.987733
18828,ESTACION DE SERVICIOS EL SOL SAC.,AV. SAN JUAN MZ. B-1 LT. 01- TUPAC AMARU DE VILLA,PETROPERU,-12.19195,-76.98374
18828,ESTACION DE SERVICIOS EL SOL S.A.C.,AV. SAN JUAN MZ. B-1 LT. 01- TUPAC AMARU DE VILLA,PETROPERU,-12.19195,-76.98374
21032,COESTI S.A.,AV. GUARDIA CIVIL NRO. 333,PRIMAX,-12.183783,-77.003214
21032,COESTI S.A.,AV. GUARDIA CIVIL N° 333,PRIMAX,-12.183783,-77.003214
14633,REPSOL COMERCIAL S.A.C.,"ESQUINA AV. GUARDIA CIVIL N° 702 Y AV. EL SOL, URB. LA CAMPIÑA",REPSOL,-12.177943,-76.996151
21036,REPSOL COMERCIAL S.A.C.,"AV. GUARDIA CIVIL N° 723 - 709 - 715, ESQUINA CON LA AV. EL OL N° 1297 - 1283 - 1275 - 1265, URB. LA CAMPIÑA",REPSOL,-12.177943,-76.996151
21036,REPSOL COMERCIAL S.A.C.,"AV. GUARDIA CIVIL N° 723 - 709 - 715, ESQUINA CON LA AV. EL SOL N° 1297 - 1283 - 1275 - 1265, URB. LA CAMPIÑA",REPSOL,-12.177943,-76.996151
14632,GRIFO SAN IGNACIO S.A.C.,"CALLE CONSTELACIÓN AUSTRAL, MZ. D1, LOTE 10, URBANIZACIÓN PARCELACIÓN LA CAMPIÑA",REPSOL,-12.174085,-76.989161
14632,GRIFO SAN IGNACIO S.A.C.,"CALLE CONSTELACIÓN AUSTRAL, MZ. D1, LOTE 10, URBANIZACIÓN PARCELACIÓN LA CAMPIÑA",REPSOL,-12.174085,-76.989161
9488,JANEDUS TRADING S.A.C.,"AV. BOLOGNESI CUADRA 8, ESQ. CON CALLE TIRAVANTI",PRIMAX,-12.142775,-77.017965
9488,ESTACION PACHACUTEC S.A.C.,"AV. BOLOGNESI CUADRA 8, ESQ. CON CALLE TIRAVANTI",PRIMAX,-12.142775,-77.017965
9507,REPSOL COMERCIAL S.A.C.,"AV. ROOSEVELT N° 6471, 6475, 6479, 6481, 6483, 6485, 6489, 6491 Y AV. 28 DE JULIO N° 1541",REPSOL,-12.13009,-77.017658
9507,REPSOL COMERCIAL S.A.C.,"AV. ROOSEVELT N° 6471, 6475, 6479, 6481, 6483, 6485, 6489, 6491 Y AV. 28 DE JULIO N° 1541",REPSOL,-12.13009,-77.017658
6818,COMPAÑIA DE PETROLEO SHELL DEL PERU S.A. (COESTI S.A.  ),AV. BENAVIDES ESQUINA CON LA AV. REPUBLICA DE PANAMA,PRIMAX,-12.126073,-77.018569
6818,COESTI S.A.,AV. BENAVIDES ESQUINA CON LA AV. REPUBLICA DE PANAMA,PRIMAX,-12.126073,-77.018569
7054,J.W.OLIVER S.A.C.,AV. ALFREDO BENAVIDES CUADRA 21,PRIMAX,-12.126073,-77.018569
6764,COESTI S.A.,AV. PASEO DE LA REPUBLICA N° 5790-5798,PECSA,-12.123463,-77.024959
8009,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,AV. PASEO DE LA REPUBLICA N° 5790-5798,PECSA,-12.123463,-77.024959
18820,REPSOL COMERCIAL S.A.C,AV. COMANDANTE ESPINAR Nº 585 ESQUINA CON LA AV. ANGAMOS,REPSOL,-12.114301,-77.037133
18820,GLOBAL FUEL S.A.,AV. COMANDANTE ESPINAR Nº 585 ESQUINA CON LA AV. ANGAMOS,REPSOL,-12.114301,-77.037133
7039,A.B.G. S.A.C.,AV. ANGAMOS OESTE N° 1685,PETROPERU,-12.110759,-77.046337
7039,REPSOL COMERCIAL S.A.C.,AV. ANGAMOS OESTE N° 1685,REPSOL,-12.110759,-77.046337
15234,ADMINISTRADORA 6 DE AGOSTO S.A.,AV. DEL EJERCITO N° 1295,REPSOL,-12.110504,-77.051337
15234,REPSOL COMERCIAL S.A.C.,AV. DEL EJERCITO N° 1295,REPSOL,-12.110504,-77.051337
16670,VELDI S.A,INTERSECCION DE LA AV. GENERAL CORDOVA N° 1025 Y AV. HIPOLITO UNANUE N° 370.,PRIMAX,-12.109508,-77.048304
16670,VELDI S.A,INTERSECCION DE LA AV. GENERAL CORDOVA Y LA AV. PELAYO SAMANAMUD (EX HIPOLITO UNANUE),PRIMAX,-12.109508,-77.048304
18879,REPSOL COMERCIAL S.A.C,AV.CAMINO REAL N° 1298,REPSOL,-12.107085,-77.039736
18879,GLOBAL FUEL S.A.,AV.CAMINO REAL N° 1298,REPSOL,-12.107085,-77.039736
6788,REPSOL COMERCIAL S.A.C,AV. REPUBLICA DE PANAMA N° 4101 ESQ. AV. TOMAS MARSANO,REPSOL,-12.105772,-77.01842
6788,GLOBAL FUEL S.A,AV. REPUBLICA DE PANAMA N° 4101 ESQ. AV. TOMAS MARSANO,REPSOL,-12.105772,-77.01842
6765,COESTI S.A.,AV. REPUBLICA DE COLOMBIA N 105-109,PRIMAX,-12.098737,-77.032165
6765,COESTI S.A.,AV. REPUBLICA DE COLOMBIA N° 105-109,PRIMAX,-12.098737,-77.032165
9113,COESTI S.A.,AV. JAVIER PRADO OESTE NOS. 1895 - 1875 -1899 ESQUINA CON LA AV. LOS CASTAÑOS,PRIMAX,-12.094975,-77.050375
