codigo_de_osinergmin,razon_social,direccion,bandera,lat,lon
8705,QUALITY & LOSS CONTROL INC S.A.C.,"CALLE LOMA DE LAS LILAS Nº 143, URB. PROLONGACION BENAVIDES 3 ETAPA",NA,-,NA
9520,REPSOL COMERCIAL SAC,OSCAR BENAVIDES N° 930,NA,-,NA
82903,INVERSIONES ARICA S.A.C.,AV. GRAU N° 1308 ESQ JR. HUANUCO Nª 1101,NA,-,NA
8224,REPSOL COMERCIAL S.A.C.,ESQ. AV. ZORRITOS Y AV. TINGO MARIA,Repsol,-12.049292,-77.05362
8224,GLOBAL FUEL S.A.,ESQ. AV. ZORRITOS Y AV. TINGO MARIA,Repsol,-12.049292,-77.05362
8069,ESTACION DE SERVICIO SANTA ROSA S.R.L.,AV. SANTA ROSA N° 274,INDEPENDIENTE,-12.050234,-76.961799
8069,PORTAFOLIO G & E S.A.C.,AV. SANTA ROSA N° 274,INDEPENDIENTE,-12.050234,-76.961799
19944,PETROCORP S.A.,AV. REPUBLICA DE VENEZUELA N° 1315,Repsol,-12.055631,-77.052621
19944,REPSOL COMERCIAL S.A.C.,AV. REPUBLICA DE VENEZUELA N° 1315,Repsol,-12.055631,-77.052621
7042,A.B.G. S.A.C.,"AV. DOS DE MAYO  1340 - 1380, URB. RISSO",Repsol,-12.092135,-77.044943
7042,REPSOL COMERCIAL S.A.C,"AV. DOS DE MAYO  1340 - 1380, URB. RISSO",Repsol,-12.092135,-77.044943
6788,REPSOL COMERCIAL S.A.C,AV. REPUBLICA DE PANAMA N° 4101 ESQ. AV. TOMAS MARSANO,Repsol,-12.105772,-77.01842
6788,GLOBAL FUEL S.A,AV. REPUBLICA DE PANAMA N° 4101 ESQ. AV. TOMAS MARSANO,Repsol,-12.105772,-77.01842
18879,REPSOL COMERCIAL S.A.C,AV.CAMINO REAL N° 1298,Repsol,-12.107085,-77.039736
18879,GLOBAL FUEL S.A.,AV.CAMINO REAL N° 1298,Repsol,-12.107085,-77.039736
15234,ADMINISTRADORA 6 DE AGOSTO S.A.,AV. DEL EJERCITO N° 1295,Repsol,-12.110504,-77.051337
15234,REPSOL COMERCIAL S.A.C.,AV. DEL EJERCITO N° 1295,Repsol,-12.110504,-77.051337
7039,A.B.G. S.A.C.,AV. ANGAMOS OESTE N° 1685,Petroperú,-12.110759,-77.046337
7039,REPSOL COMERCIAL S.A.C.,AV. ANGAMOS OESTE N° 1685,Repsol,-12.110759,-77.046337
8235,SHENANDOA S.A.,AV. CAMINOS DEL INCA N° 194  Y CALLE PUNTA PEJERREY,primax,-12.113116,-76.99283
8235,SHENANDOA S.A.C.,"AV. CAMINOS DEL INCA N° 194, URB. TAMBO DE MONTERRICO",primax,-12.113116,-76.99283
18820,REPSOL COMERCIAL S.A.C,AV. COMANDANTE ESPINAR Nº 585 ESQUINA CON LA AV. ANGAMOS,Repsol,-12.114301,-77.037133
18820,GLOBAL FUEL S.A.,AV. COMANDANTE ESPINAR Nº 585 ESQUINA CON LA AV. ANGAMOS,Repsol,-12.114301,-77.037133
6764,COESTI S.A.,AV. PASEO DE LA REPUBLICA N° 5790-5798,Pecsa,-12.123463,-77.024959
8009,PERUANA DE ESTACIONES DE SERVICIOS S.A.C.,AV. PASEO DE LA REPUBLICA N° 5790-5798,Pecsa,-12.123463,-77.024959
9247,COESTI S.A.,AV. CAMINOS DEL INCA N° 2017 ESQ. CON LA AV. BENAVIDES,primax,-12.130102,-76.98177
9247,COESTI S.A.,"AV. BENAVIDES Y CAMINOS DEL INCA N° 2009 Y 2017, URB. LAS GARDENIAS, 3RA ETAPA",NA,-12.130102,-76.98177
