codigo_de_osinergmin,grifo_distancia,distancia,distancia_min,razon_social,distrito,direccion,bandera,coordenadas
16728,16766,0.005421718696181305,0.005421718696181305,ASESORIA COMERCIAL S.A.,MAGDALENA DEL MAR,AV. BRASIL N° 4191 - 4193 ESQ. CON AV. DEL EJERCITO Y JR. HIPOLITO UNANUE,PRIMAX,"-12.097144, -77.071467"
16766,16728,0.005421718696181305,0.005421718696181305,COESTI S.A.,MAGDALENA DEL MAR,AV.  DEL EJERCITO N° 110 - 112 ESQUINA CON AV. BRASIL,PRIMAX,"-12.097123, -77.071512"
7461,39429,0.008552946097298661,0.008552946097298661,GRIFO VICTORIA E.I.R.L.,LA VICTORIA,AV. BAUZATE Y MEZA ESQ. PROLONGACION HUAMANGA S/N.,INDEPENDIENTE,"-12.064913, -77.020272"
39429,7461,0.008552946097298661,0.008552946097298661,SERVICENTRO MALI S.A.C.,LA VICTORIA,JR. HUMBOLDT CON PROLONGACION HUAMANGA N° 619 (BERMA CENTRAL),INDEPENDIENTE,"-12.06489, -77.020197"
6876,21558,0.009812736304665358,0.009812736304665358,REPSOL COMERCIAL S.A.C.,BARRANCO,AV. REPUBLICA DE PANAMA N° 290,REPSOL,"-12.139069, -77.017547"
21558,6876,0.009812736304665358,0.009812736304665358,REPSOL COMERCIAL S.A.C,BARRANCO,"AV.EL SOL N° 697 , ESQUINA CON AV. REPUBLICA DE PANAMA",REPSOL,"-12.139148, -77.017588"
7161,86266,0.019284831685737955,0.019284831685737955,LMC COMBUSTIBLES S.A.,SAN BORJA,AV. CIRCUNVALACION N° 2944,INDEPENDIENTE,"-12.082749, -76.985517"
86266,7161,0.019284831685737955,0.019284831685737955,ENERGIGAS S.A.C,LA MOLINA,AV. JAVIER PRADO ESTE Nª 5411,INDEPENDIENTE,"-12.082776, -76.985692"
19986,118799,0.021197423289220335,0.021197423289220335,DIEGO OSWALDO HUMARI QUISPE,SANTA ANITA,"AV. ALTO HUANCARAY MZ. B LTE. 6, ASOCIACION DE VIVIENDA SAN CARLOS",INDEPENDIENTE,"-12.039246, -76.958081"
118799,19986,0.021197423289220335,0.021197423289220335,CORPORACION ALEGROUP E.I.R.L.,VILLA EL SALVADOR,"LOTE25,MZ.N¿,AGRUPAMIENTO PACHACAMAC,SECTOR SEGUNDO,PARCELA¿A¿/BARRIO1(ALT.INTERSECC DE LAS AV.SEPARADORA INDUSTRIAL Y AV.PROLONGACION UNIVERSITARIA)",INDEPENDIENTE,"-12.039107, -76.957947"
